2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def
Chikungunya Fever
"Município de residência";"Jan";"Fev";"Mar";"Dez";"Total"
"293305 VARZEA DA ROCA";-;1;-;-;1
"293310 VARZEA DO POCO";-;11;-;-;11
"293317 VARZEDO";1;22;5;-;28
"293320 VERA CRUZ";3;28;25;-;56
"293325 VEREDA";-;1;2;-;3
"293330 VITORIA DA CONQUISTA";316;1063;687;6;2072
"293350 WENCESLAU GUIMARAES";-;5;13;-;18
"310020 ABAETE";17;375;159;-;551
"310030 ABRE CAMPO";-;1;-;-;1
"310040 ACAIACA";2;1;4;-;7
"310050 ACUCENA";17;70;29;-;116
"310080 AGUANIL";-;1;-;-;1
"310090 AGUAS FORMOSAS";-;3;1;-;4
"310110 AIMORES";7;4;6;-;17
"310120 AIURUOCA";1;-;-;-;1
"310130 ALAGOA";-;1;-;-;1
"310150 ALEM PARAIBA";2;-;-;-;2
"310160 ALFENAS";-;2;3;-;5
"310163 ALFREDO VASCONCELOS";-;-;1;-;1
"310170 ALMENARA";-;1;1;-;2
"310180 ALPERCATA";44;79;44;-;167
"310200 ALTEROSA";1;-;1;-;2
"310205 ALTO CAPARAO";-;1;-;-;1
"310220 ALVARENGA";2;15;20;-;37
"310230 ALVINOPOLIS";9;63;36;-;108
"310250 AMPARO DO SERRA";-;-;1;-;1
"310260 ANDRADAS";-;-;1;-;1
"310300 ANTONIO DIAS";10;11;1;-;22
"310320 ARACAI";3;9;26;-;38
"310330 ARACITABA";-;2;-;-;2
"310340 ARACUAI";3;14;24;-;41
"310350 ARAGUARI";202;688;-;2;892
"310370 ARAPONGA";-;-;1;-;1
"310380 ARAPUA";-;-;1;-;1
"310390 ARAUJOS";1;2;2;-;5
"310400 ARAXA";1;2;-;-;3
"310410 ARCEBURGO";1;1;-;-;2
"310420 ARCOS";2;3;1;-;6
"310430 AREADO";-;-;2;-;2
"310450 ARINOS";1;-;-;-;1
"310470 ATALEIA";-;-;3;-;3
"310480 AUGUSTO DE LIMA";3;4;18;-;25
"310500 BALDIM";31;53;63;-;147
"310510 BAMBUI";1;-;1;-;2
"310540 BARAO DE COCAIS";3;4;3;-;10
"310560 BARBACENA";2;2;3;-;7
"310590 BARROSO";1;-;-;-;1
"310600 BELA VISTA DE MINAS";7;25;7;-;39
"310610 BELMIRO BRAGA";1;-;-;-;1
"310620 BELO HORIZONTE";1043;1467;598;12;3120
"310630 BELO ORIENTE";521;1499;292;2;2314
"310640 BELO VALE";-;3;4;-;7
"310665 BERIZAL";1;-;1;-;2
"310670 BETIM";225;191;74;-;490
"310690 BICAS";-;-;3;-;3
"310700 BIQUINHAS";-;-;1;-;1
"310710 BOA ESPERANCA";1;-;1;-;2
"310730 BOCAIUVA";12;2;1;-;15
"310740 BOM DESPACHO";-;1;-;-;1
"310750 BOM JARDIM DE MINAS";-;1;-;-;1
"310770 BOM JESUS DO AMPARO";1;1;2;-;4
"310780 BOM JESUS DO GALHO";166;97;9;1;273
"310800 BOM SUCESSO";-;-;2;-;2
"310810 BONFIM";1;4;3;-;8
"310820 BONFINOPOLIS DE MINAS";-;1;1;-;2
"310825 BONITO DE MINAS";6;60;75;-;141
"310830 BORDA DA MATA";-;1;-;-;1
"310840 BOTELHOS";-;1;-;-;1
"310850 BOTUMIRIM";1;1;-;-;2
"310860 BRASILIA DE MINAS";25;4;-;-;29
"310870 BRAS PIRES";-;-;1;-;1
"310880 BRAUNAS";75;82;-;-;157
"310900 BRUMADINHO";7;7;4;-;18
"310920 BUENOPOLIS";3;19;10;-;32
"310925 BUGRE";68;128;67;1;264
"310940 BURITIZEIRO";-;9;5;-;14
"310950 CABO VERDE";-;1;1;-;2
"310960 CACHOEIRA DA PRATA";53;154;3;-;210
"310990 CAETANOPOLIS";28;141;181;-;350
"311000 CAETE";198;1479;506;1;2184
"311010 CAIANA";-;1;-;-;1
"311030 CALDAS";-;1;-;-;1
"311040 CAMACHO";1;-;-;-;1
"311060 CAMBUI";-;1;-;-;1
"311080 CAMPANARIO";4;17;45;-;66
"311090 CAMPANHA";-;-;1;-;1
"311100 CAMPESTRE";-;3;-;-;3
"311110 CAMPINA VERDE";1;2;7;-;10
"311120 CAMPO BELO";5;2;-;-;7
"311130 CAMPO DO MEIO";-;1;-;-;1
"311140 CAMPO FLORIDO";9;9;-;-;18
"311170 CANAA";-;2;-;-;2
"311180 CANAPOLIS";-;2;3;-;5
"311200 CANDEIAS";1;1;1;-;3
"311220 CAPELA NOVA";-;1;-;-;1
"311230 CAPELINHA";-;8;15;-;23
"311250 CAPIM BRANCO";11;1;3;-;15
"311260 CAPINOPOLIS";-;1;4;-;5
"311265 CAPITAO ANDRADE";16;26;30;-;72
"311270 CAPITAO ENEAS";7;48;61;-;116
"311280 CAPITOLIO";-;2;-;-;2
"311290 CAPUTIRA";1;1;-;-;2
"311300 CARAI";-;1;-;-;1
"311320 CARANDAI";-;3;-;-;3
"311330 CARANGOLA";-;1;-;-;1
"311340 CARATINGA";36;301;7;-;344
"311350 CARBONITA";1;1;2;-;4
"311370 CARLOS CHAGAS";1;-;1;-;2
"311380 CARMESIA";1;-;-;-;1
"311400 CARMO DA MATA";-;2;2;-;4
"311420 CARMO DO CAJURU";5;9;-;-;14
"311430 CARMO DO PARANAIBA";-;8;6;-;14
"311455 CARNEIRINHO";-;-;1;-;1
"311480 CARVALHOS";-;-;1;-;1
"311510 CASSIA";-;1;4;-;5
"311530 CATAGUASES";1;-;2;-;3
"311540 CATAS ALTAS DA NORUEGA";-;-;1;-;1
"311550 CAXAMBU";1;1;-;-;2
"311560 CEDRO DO ABAETE";-;2;1;-;3
"311570 CENTRAL DE MINAS";3;5;68;-;76
"311610 CHAPADA DO NORTE";1;3;1;-;5
"311615 CHAPADA GAUCHA";3;2;-;-;5
"311630 CIPOTANEA";-;-;1;-;1
"311650 CLARO DOS POCOES";2;1;4;-;7
"311660 CLAUDIO";1;-;-;-;1
"311680 COLUNA";-;-;1;-;1
"311690 COMENDADOR GOMES";-;1;1;-;2
"311700 COMERCINHO";6;1;-;-;7
"311730 CONCEICAO DAS ALAGOAS";1;-;1;-;2
"311740 CONCEICAO DE IPANEMA";-;1;-;-;1
"311750 CONCEICAO DO MATO DENTRO";17;36;9;1;63
"311760 CONCEICAO DO PARA";-;1;-;-;1
"311770 CONCEICAO DO RIO VERDE";-;1;-;-;1
"311780 CONCEICAO DOS OUROS";-;6;4;-;10
"311783 CONEGO MARINHO";1;13;9;-;23
"311787 CONFINS";-;1;-;-;1
"311790 CONGONHAL";1;-;-;-;1
"311800 CONGONHAS";6;18;7;-;31
"311830 CONSELHEIRO LAFAIETE";14;25;8;-;47
"311840 CONSELHEIRO PENA";6;92;233;-;331
"311850 CONSOLACAO";-;-;2;-;2
"311860 CONTAGEM";226;380;187;2;795
"311880 CORACAO DE JESUS";-;34;72;-;106
"311890 CORDISBURGO";5;12;15;-;32
"311910 CORINTO";3;24;15;-;42
"311920 COROACI";5;43;45;-;93
"311930 COROMANDEL";4;-;-;-;4
"311940 CORONEL FABRICIANO";3318;412;98;83;3911
"311950 CORONEL MURTA";-;-;1;-;1
"311970 CORONEL XAVIER CHAVES";9;-;-;-;9
"311995 CORREGO FUNDO";2;10;6;-;18
"312000 CORREGO NOVO";3;1;1;-;5
"312010 COUTO DE MAGALHAES DE MINAS";1;66;114;-;181
"312015 CRISOLITA";1;-;-;-;1
"312020 CRISTAIS";-;1;-;-;1
"312050 CRISTINA";1;-;-;-;1
"312080 CRUZILIA";-;6;2;-;8
"312083 CUPARAQUE";-;11;68;-;79
"312090 CURVELO";12;17;8;-;37
"312100 DATAS";-;2;-;-;2
"312120 DELFINOPOLIS";-;-;1;-;1
"312130 DESCOBERTO";1;-;-;-;1
"312160 DIAMANTINA";23;16;11;-;50
"312180 DIONISIO";16;47;14;-;77
"312210 DIVINO DAS LARANJEIRAS";-;2;19;-;21
"312220 DIVINOLANDIA DE MINAS";39;173;175;-;387
"312230 DIVINOPOLIS";16;45;30;1;92
"312235 DIVISA ALEGRE";-;3;-;-;3
"312247 DOM BOSCO";-;2;-;-;2
"312250 DOM CAVATI";237;174;-;-;411
"312260 DOM JOAQUIM";-;-;1;-;1
"312270 DOM SILVERIO";-;2;3;-;5
"312290 DONA EUSEBIA";1;2;-;-;3
"312310 DORES DE GUANHAES";2;4;-;-;6
"312320 DORES DO INDAIA";-;1;3;-;4
"312350 DOURADOQUARA";-;-;1;-;1
"312352 DURANDE";1;-;-;-;1
"312360 ELOI MENDES";-;-;1;-;1
"312370 ENGENHEIRO CALDAS";9;38;56;-;103
"312385 ENTRE FOLHAS";6;17;6;-;29
"312390 ENTRE RIOS DE MINAS";-;1;-;-;1
"312400 ERVALIA";3;-;-;-;3
"312410 ESMERALDAS";10;13;-;-;23
"312420 ESPERA FELIZ";3;6;-;-;9
"312430 ESPINOSA";2;4;4;-;10
"312450 ESTIVA";-;-;1;-;1
"312480 ESTRELA DO SUL";1;-;-;-;1
"312490 EUGENOPOLIS";-;1;-;-;1
"312550 SAO GONCALO DO RIO PRETO";-;1;-;-;1
"312560 FELISBURGO";1;-;1;-;2
"312570 FELIXLANDIA";7;57;78;-;142
"312580 FERNANDES TOURINHO";8;23;60;-;91
"312590 FERROS";1;10;2;-;13
"312600 FLORESTAL";-;2;-;-;2
"312610 FORMIGA";72;149;39;1;261
"312630 FORTALEZA DE MINAS";-;1;1;-;2
"312640 FORTUNA DE MINAS";216;455;83;-;754
"312650 FRANCISCO BADARO";2;1;-;-;3
"312660 FRANCISCO DUMONT";3;1;-;-;4
"312670 FRANCISCO SA";2;13;9;-;24
"312675 FRANCISCOPOLIS";13;14;2;2;31
"312680 FREI GASPAR";-;10;-;-;10
"312690 FREI INOCENCIO";23;70;49;-;142
"312700 FRONTEIRA";19;4;-;-;23
"312705 FRONTEIRA DOS VALES";1;2;-;1;4
"312707 FRUTA DE LEITE";5;2;2;-;9
"312710 FRUTAL";8;27;19;1;55
"312720 FUNILANDIA";195;125;-;-;320
"312730 GALILEIA";7;8;25;-;40
"312733 GAMELEIRAS";8;31;27;-;66
"312735 GLAUCILANDIA";1;-;-;-;1
"312737 GOIABEIRA";-;-;10;-;10
"312738 GOIANA";2;-;-;-;2
"312750 GONZAGA";1;-;3;-;4
"312760 GOUVEIA";1;-;-;-;1
"312770 GOVERNADOR VALADARES";202;2277;1977;1;4457
"312780 GRAO MOGOL";1;4;-;-;5
"312800 GUANHAES";8;17;35;-;60
"312820 GUARACIABA";2;1;4;-;7
"312825 GUARACIAMA";-;-;1;-;1
"312840 GUARANI";-;1;-;-;1
"312860 GUARDA-MOR";-;-;1;-;1
"312870 GUAXUPE";-;1;-;-;1
"312900 GUIRICEMA";-;-;1;-;1
"312910 GURINHATA";-;1;-;-;1
"312920 HELIODORA";-;-;1;-;1
"312930 IAPU";61;91;74;-;226
"312950 IBIA";-;1;-;-;1
"312965 IBIRACATU";-;1;-;-;1
"312980 IBIRITE";30;39;3;-;72
"313000 IBITURUNA";-;1;1;-;2
"313005 ICARAI DE MINAS";-;4;-;-;4
"313010 IGARAPE";4;2;-;1;7
"313020 IGARATINGA";-;3;3;-;6
"313030 IGUATAMA";2;7;1;-;10
"313055 IMBE DE MINAS";1;3;-;-;4
"313060 INCONFIDENTES";1;-;-;-;1
"313065 INDAIABIRA";1;-;-;-;1
"313090 INHAPIM";96;526;200;-;822
"313100 INHAUMA";38;86;8;1;133
"313110 INIMUTABA";-;4;-;-;4
"313115 IPABA";703;1332;75;-;2110
"313120 IPANEMA";-;24;24;-;48
"313130 IPATINGA";5763;5234;959;86;12042
"313160 IRAI DE MINAS";-;-;1;-;1
"313170 ITABIRA";138;76;-;-;214
"313180 ITABIRINHA";4;49;13;-;66
"313190 ITABIRITO";3;2;-;-;5
"313210 ITACARAMBI";1;5;2;-;8
"313230 ITAIPE";2;-;-;-;2
"313240 ITAJUBA";4;-;-;-;4
"313250 ITAMARANDIBA";6;1;1;-;8
"313270 ITAMBACURI";55;28;-;-;83
"313300 ITAMONTE";-;1;-;-;1
"313310 ITANHANDU";-;-;1;-;1
"313320 ITANHOMI";364;285;1;5;655
"313330 ITAOBIM";2;1;-;-;3
"313340 ITAPAGIPE";1;-;1;-;2
"313350 ITAPECERICA";-;2;-;-;2
"313370 ITATIAIUCU";2;-;-;-;2
"313380 ITAUNA";48;95;-;3;146
"313400 ITINGA";3;9;4;-;16
"313410 ITUETA";1;7;12;-;20
"313420 ITUIUTABA";8;23;31;-;62
"313440 ITURAMA";2;-;1;-;3
"313460 JABOTICATUBAS";41;50;2;1;94
"313470 JACINTO";1;2;1;-;4
"313500 JAGUARACU";41;22;8;-;71
"313505 JAIBA";4;11;4;-;19
"313507 JAMPRUCA";-;-;11;-;11
"313510 JANAUBA";8;29;9;-;46
"313520 JANUARIA";101;84;15;3;203
"313530 JAPARAIBA";13;2;-;-;15
"313535 JAPONVAR";26;10;-;-;36
"313540 JECEABA";1;1;-;-;2
"313545 JENIPAPO DE MINAS";-;1;-;-;1
"313550 JEQUERI";-;5;1;-;6
"313570 JEQUITIBA";-;2;1;-;3
"313580 JEQUITINHONHA";1;19;14;-;34
"313600 JOAIMA";-;3;-;-;3
"313610 JOANESIA";362;381;188;7;938
"313620 JOAO MONLEVADE";213;609;242;1;1065
"313630 JOAO PINHEIRO";1;7;1;-;9
"313640 JOAQUIM FELICIO";-;2;-;-;2
"313650 JORDANIA";-;-;1;-;1
"313655 JOSE RAYDAN";-;-;1;-;1
"313660 NOVA UNIAO";-;1;1;-;2
"313665 JUATUBA";28;14;6;-;48
"313670 JUIZ DE FORA";10;12;1;-;23
"313695 JUVENILIA";-;1;-;-;1
"313720 LAGOA DA PRATA";55;63;45;-;163
"313730 LAGOA DOS PATOS";-;6;1;-;7
"313740 LAGOA DOURADA";-;-;1;-;1
"313750 LAGOA FORMOSA";1;-;1;-;2
"313760 LAGOA SANTA";13;34;34;-;81
"313780 LAMBARI";-;1;-;-;1
"313810 LASSANCE";37;446;269;-;752
"313830 LEANDRO FERREIRA";-;1;-;-;1
"313865 LONTRA";1;-;1;-;2
"313868 LUISLANDIA";46;49;1;-;96
"313870 LUMINARIAS";-;1;2;-;3
"313880 LUZ";1;8;5;-;14
"313890 MACHACALIS";-;4;-;-;4
"313900 MACHADO";-;-;1;-;1
"313910 MADRE DE DEUS DE MINAS";1;1;-;-;2
"313920 MALACACHETA";3;-;-;-;3
"313925 MAMONAS";3;7;1;-;11
"313930 MANGA";5;1;3;1;10
"313940 MANHUACU";-;93;38;-;131
"313950 MANHUMIRIM";-;1;-;-;1
"313960 MANTENA";-;2;-;-;2
"313970 MARAVILHAS";2;24;14;-;40
"313980 MAR DE ESPANHA";-;1;-;-;1
"314000 MARIANA";3;24;12;-;39
"314010 MARILAC";3;36;66;-;105
"314015 MARIO CAMPOS";3;9;-;-;12
"314030 MARLIERIA";29;84;29;-;142
"314050 MARTINHO CAMPOS";3;21;23;-;47
"314055 MATA VERDE";2;-;4;-;6
"314060 MATERLANDIA";1;-;1;-;2
"314070 MATEUS LEME";17;8;-;1;26
"314080 MATIAS BARBOSA";2;1;1;-;4
"314090 MATIPO";-;3;7;-;10
"314110 MATOZINHOS";156;211;4;2;373
"314120 MATUTINA";-;4;1;-;5
"314130 MEDEIROS";-;-;1;-;1
"314140 MEDINA";-;3;3;-;6
"314150 MENDES PIMENTEL";1;3;-;-;4
"314170 MESQUITA";202;40;19;1;262
"314180 MINAS NOVAS";28;4;2;-;34
"314190 MINDURI";-;-;1;-;1
"314200 MIRABELA";6;16;3;-;25
"314210 MIRADOURO";1;2;-;-;3
"314225 MIRAVANIA";-;1;-;-;1
"314230 MOEDA";2;4;-;-;6
"314250 MONJOLOS";4;1;-;-;5
"314260 MONSENHOR PAULO";-;1;-;-;1
"314270 MONTALVANIA";-;3;-;-;3
"314280 MONTE ALEGRE DE MINAS";5;-;9;-;14
"314290 MONTE AZUL";3;9;6;-;18
"314300 MONTE BELO";3;1;-;-;4
"314310 MONTE CARMELO";1;-;1;-;2
"314315 MONTE FORMOSO";-;9;24;-;33
"314320 MONTE SANTO DE MINAS";1;-;1;-;2
"314330 MONTES CLAROS";199;103;44;-;346
"314350 MORADA NOVA DE MINAS";-;-;4;-;4
"314370 MORRO DO PILAR";-;1;1;-;2
"314390 MURIAE";1;2;4;-;7
"314420 NACIP RAYDAN";10;10;9;-;29
"314430 NANUQUE";26;89;48;1;164
"314435 NAQUE";29;101;28;-;158
"314437 NATALANDIA";-;2;9;-;11
"314450 NAZARENO";-;1;-;-;1
"314460 NEPOMUCENO";-;1;-;-;1
"314470 NOVA ERA";41;197;49;-;287
"314480 NOVA LIMA";22;41;27;-;90
"314490 NOVA MODICA";-;2;92;-;94
"314505 NOVA PORTEIRINHA";2;2;-;-;4
"314520 NOVA SERRANA";2;15;3;-;20
"314530 NOVO CRUZEIRO";-;3;1;-;4
"314535 NOVO ORIENTE DE MINAS";18;13;-;1;32
"314560 OLIVEIRA";1;1;2;-;4
"314587 ORIZANIA";-;3;-;-;3
"314590 OURO BRANCO";5;3;1;-;9
"314610 OURO PRETO";3;6;5;-;14
"314620 OURO VERDE DE MINAS";-;1;1;-;2
"314625 PADRE CARVALHO";5;2;-;-;7
"314630 PADRE PARAISO";-;-;6;-;6
"314640 PAINEIRAS";-;1;7;-;8
"314655 PAI PEDRO";-;1;1;-;2
"314690 PAPAGAIOS";5;101;23;-;129
"314700 PARACATU";13;32;49;-;94
"314710 PARA DE MINAS";82;103;54;-;239
"314720 PARAGUACU";-;1;1;-;2
"314730 PARAISOPOLIS";1;-;-;-;1
"314740 PARAOPEBA";99;186;95;1;381
"314770 PASSA TEMPO";-;1;-;-;1
"314790 PASSOS";3;5;5;-;13
"314800 PATOS DE MINAS";14;22;17;-;53
"314840 PAULISTAS";1;-;-;-;1
"314850 PAVAO";4;-;-;-;4
"314860 PECANHA";2;2;-;-;4
"314870 PEDRA AZUL";8;47;57;-;112
"314880 PEDRA DO ANTA";-;-;8;-;8
"314890 PEDRA DO INDAIA";2;2;3;-;7
"314915 PEDRAS DE MARIA DA CRUZ";2;4;1;-;7
"314920 PEDRINOPOLIS";1;2;-;-;3
"314930 PEDRO LEOPOLDO";16;46;37;-;99
"314940 PEDRO TEIXEIRA";1;-;1;-;2
"314950 PEQUERI";-;-;2;-;2
"314960 PEQUI";-;-;6;-;6
"314990 PERDOES";-;1;-;-;1
"314995 PERIQUITO";31;164;15;-;210
"315000 PESCADOR";-;1;-;-;1
"315015 PIEDADE DE CARATINGA";-;2;5;-;7
"315020 PIEDADE DE PONTE NOVA";-;1;-;-;1
"315030 PIEDADE DO RIO GRANDE";-;21;11;-;32
"315040 PIEDADE DOS GERAIS";1;-;-;-;1
"315053 PINGO-D'AGUA";32;108;31;-;171
"315057 PINTOPOLIS";60;41;1;-;102
"315060 PIRACEMA";-;1;2;-;3
"315080 PIRANGA";-;-;1;-;1
"315120 PIRAPORA";43;93;70;-;206
"315140 PITANGUI";4;18;1;-;23
"315160 PLANURA";3;-;-;-;3
"315180 POCOS DE CALDAS";8;8;-;-;16
"315190 POCRANE";-;2;-;-;2
"315200 POMPEU";2;5;2;-;9
"315210 PONTE NOVA";10;81;80;-;171
"315213 PONTO CHIQUE";1;1;2;-;4
"315217 PONTO DOS VOLANTES";-;12;19;-;31
"315220 PORTEIRINHA";1;1;-;-;2
"315230 PORTO FIRME";-;1;1;-;2
"315240 POTE";-;2;-;-;2
"315250 POUSO ALEGRE";5;13;1;-;19
"315270 PRADOS";3;1;-;-;4
"315280 PRATA";9;86;61;-;156
"315310 PRESIDENTE BERNARDES";-;-;2;-;2
"315320 PRESIDENTE JUSCELINO";2;5;1;-;8
"315330 PRESIDENTE KUBITSCHEK";-;1;-;-;1
"315360 PRUDENTE DE MORAIS";19;37;20;2;78
"315370 QUARTEL GERAL";-;7;14;-;21
"315390 RAPOSOS";2;2;-;-;4
"315400 RAUL SOARES";3;14;15;-;32
"315415 REDUTO";1;6;2;-;9
"315420 RESENDE COSTA";1;1;1;-;3
"315430 RESPLENDOR";10;39;45;-;94
"315445 RIACHINHO";-;-;4;-;4
"315450 RIACHO DOS MACHADOS";-;-;-;1;1
"315460 RIBEIRAO DAS NEVES";303;513;207;3;1026
"315480 RIO ACIMA";7;2;-;-;9
"315490 RIO CASCA";22;175;397;-;594
"315500 RIO DOCE";1;2;-;-;3
"315510 RIO DO PRADO";-;1;1;-;2
"315540 RIO NOVO";-;3;-;-;3
"315560 RIO PARDO DE MINAS";-;1;-;-;1
"315570 RIO PIRACICABA";4;16;9;-;29
"315580 RIO POMBA";1;-;1;-;2
"315670 SABARA";54;33;29;-;116
"315680 SABINOPOLIS";1;-;1;-;2
"315690 SACRAMENTO";-;1;2;-;3
"315700 SALINAS";10;3;-;-;13
"315710 SALTO DA DIVISA";5;39;26;-;70
"315720 SANTA BARBARA";13;1;1;-;15
"315725 SANTA BARBARA DO LESTE";-;1;-;-;1
"315733 SANTA CRUZ DE MINAS";-;3;1;-;4
"315740 SANTA CRUZ DO ESCALVADO";-;1;2;-;3
"315750 SANTA EFIGENIA DE MINAS";-;1;1;-;2
"315765 SANTA HELENA DE MINAS";-;1;-;-;1
"315770 SANTA JULIANA";-;3;1;-;4
"315780 SANTA LUZIA";149;183;123;3;458
"315790 SANTA MARGARIDA";1;-;-;-;1
"315800 SANTA MARIA DE ITABIRA";3;7;-;-;10
"315820 SANTA MARIA DO SUACUI";3;5;6;-;14
"315830 SANTANA DA VARGEM";1;-;-;-;1
"315840 SANTANA DE CATAGUASES";-;-;1;-;1
"315850 SANTANA DE PIRAPAMA";102;276;51;-;429
"315860 SANTANA DO DESERTO";-;1;-;-;1
"315890 SANTANA DO MANHUACU";-;-;1;-;1
"315895 SANTANA DO PARAISO";788;588;187;16;1579
"315900 SANTANA DO RIACHO";5;16;4;-;25
"315935 SANTA RITA DE MINAS";3;2;13;-;18
"315950 SANTA RITA DO ITUETO";-;1;4;-;5
"315960 SANTA RITA DO SAPUCAI";3;1;-;-;4
"315970 SANTA ROSA DA SERRA";-;-;1;-;1
"315980 SANTA VITORIA";2;4;10;-;16
"316010 SANTO ANTONIO DO GRAMA";1;-;-;-;1
"316020 SANTO ANTONIO DO ITAMBE";-;1;-;-;1
"316040 SANTO ANTONIO DO MONTE";4;12;4;-;20
"316060 SANTO HIPOLITO";111;203;6;-;320
"316070 SANTOS DUMONT";1;2;-;-;3
"316090 SAO BRAS DO SUACUI";2;1;-;-;3
"316095 SAO DOMINGOS DAS DORES";-;1;-;-;1
"316100 SAO DOMINGOS DO PRATA";42;171;74;-;287
"316105 SAO FELIX DE MINAS";-;2;1;-;3
"316110 SAO FRANCISCO";3;10;2;-;15
"316120 SAO FRANCISCO DE PAULA";-;1;-;-;1
"316130 SAO FRANCISCO DE SALES";-;1;-;-;1
"316140 SAO FRANCISCO DO GLORIA";-;1;-;-;1
"316150 SAO GERALDO";-;-;1;-;1
"316160 SAO GERALDO DA PIEDADE";-;1;2;-;3
"316165 SAO GERALDO DO BAIXIO";1;26;-;-;27
"316170 SAO GONCALO DO ABAETE";-;-;1;-;1
"316180 SAO GONCALO DO PARA";3;5;-;-;8
"316190 SAO GONCALO DO RIO ABAIXO";-;3;13;-;16
"316200 SAO GONCALO DO SAPUCAI";-;2;-;-;2
"316210 SAO GOTARDO";-;-;1;-;1
"316225 SAO JOAO DA LAGOA";-;1;-;-;1
"316240 SAO JOAO DA PONTE";15;14;10;1;40
"316245 SAO JOAO DAS MISSOES";2;1;-;-;3
"316250 SAO JOAO DEL REI";8;3;2;-;13
"316255 SAO JOAO DO MANHUACU";-;1;1;-;2
"316257 SAO JOAO DO MANTENINHA";1;6;5;-;12
"316260 SAO JOAO DO ORIENTE";27;182;176;-;385
"316265 SAO JOAO DO PACUI";-;-;1;-;1
"316270 SAO JOAO DO PARAISO";-;1;1;-;2
"316280 SAO JOAO EVANGELISTA";1;4;4;-;9
"316290 SAO JOAO NEPOMUCENO";2;-;2;-;4
"316292 SAO JOAQUIM DE BICAS";2;1;-;-;3
"316295 SAO JOSE DA LAPA";8;9;1;-;18
"316300 SAO JOSE DA SAFIRA";-;2;47;-;49
"316310 SAO JOSE DA VARGINHA";1;7;-;-;8
"316330 SAO JOSE DO DIVINO";-;1;5;-;6
"316340 SAO JOSE DO GOIABAL";172;101;35;-;308
"316360 SAO JOSE DO MANTIMENTO";1;-;-;-;1
"316400 SAO PEDRO DOS FERROS";-;-;1;-;1
"316410 SAO PEDRO DO SUACUI";-;1;1;-;2
"316420 SAO ROMAO";-;5;2;-;7
"316430 SAO ROQUE DE MINAS";-;1;-;-;1
"316447 SAO SEBASTIAO DO ANTA";10;42;3;-;55
"316460 SAO SEBASTIAO DO OESTE";-;-;1;-;1
"316470 SAO SEBASTIAO DO PARAISO";2;7;2;-;11
"316480 SAO SEBASTIAO DO RIO PRETO";1;2;1;-;4
"316500 SAO TIAGO";1;-;-;-;1
"316530 SAO VICENTE DE MINAS";-;-;3;-;3
"316553 SARZEDO";15;8;6;-;29
"316556 SEM-PEIXE";-;36;55;-;91
"316560 SENADOR CORTES";-;1;-;-;1
"316570 SENADOR FIRMINO";-;-;1;-;1
"316610 SENHORA DO PORTO";-;3;-;-;3
"316620 SENHORA DOS REMEDIOS";-;2;-;-;2
"316650 SERRA AZUL DE MINAS";-;1;-;-;1
"316660 SERRA DA SAUDADE";3;1;-;-;4
"316670 SERRA DOS AIMORES";2;2;3;-;7
"316680 SERRA DO SALITRE";1;3;1;-;5
"316695 SERRANOPOLIS DE MINAS";-;-;1;-;1
"316710 SERRO";4;1;1;-;6
"316720 SETE LAGOAS";4361;2662;1441;77;8541
"316740 SILVIANOPOLIS";-;1;-;-;1
"316750 SIMAO PEREIRA";1;-;-;-;1
"316760 SIMONESIA";-;2;-;-;2
"316770 SOBRALIA";17;379;313;-;709
"316800 TAIOBEIRAS";4;12;17;-;33
"316840 TARUMIRIM";125;111;11;2;249
"316860 TEOFILO OTONI";54;157;97;-;308
"316870 TIMOTEO";4105;1527;311;52;5995
"316880 TIRADENTES";-;1;1;-;2
"316900 TOCANTINS";-;2;2;-;4
"316930 TRES CORACOES";-;-;2;-;2
"316935 TRES MARIAS";7;59;2;-;68
"316950 TUMIRITINGA";98;51;169;-;318
"316970 TURMALINA";47;77;40;-;164
"316990 UBA";9;34;176;-;219
"317000 UBAI";1;2;-;-;3
"317005 UBAPORANGA";6;6;1;-;13
"317010 UBERABA";12;22;11;-;45
"317020 UBERLANDIA";141;317;86;-;544
"317040 UNAI";2;2;1;-;5
"317050 URUCANIA";-;1;1;-;2
"317057 VARGEM ALEGRE";350;136;19;8;513
"317070 VARGINHA";7;9;9;-;25
"317080 VARZEA DA PALMA";5;20;36;-;61
"317090 VARZELANDIA";8;5;5;-;18
"317100 VAZANTE";1;-;-;-;1
"317107 VEREDINHA";-;-;3;-;3
"317110 VERISSIMO";1;-;-;-;1
"317115 VERMELHO NOVO";-;2;-;-;2
"317120 VESPASIANO";36;17;1;2;56
"317130 VICOSA";6;12;4;-;22
"317150 MATHIAS LOBATO";9;123;197;-;329
"317160 VIRGEM DA LAPA";3;-;-;-;3
"317170 VIRGINIA";-;-;1;-;1
"317180 VIRGINOPOLIS";5;10;2;-;17
"317190 VIRGOLANDIA";1;5;4;-;10
"317200 VISCONDE DO RIO BRANCO";-;1;-;-;1
"317210 VOLTA GRANDE";-;7;5;-;12
"320016 AGUA DOCE DO NORTE";-;-;1;-;1
"320060 ARACRUZ";1;1;-;-;2
"320130 CARIACICA";1;2;-;-;3
"320490 SAO MATEUS";1;-;-;-;1
"320501 SOORETAMA";1;-;-;-;1
"320530 VITORIA";2;2;-;-;4
