2024
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Total"
"420180 ATALANTA";-;-;-;-;-;-;2;1;-;-;-;-;3
"420190 AURORA";-;-;-;-;-;-;1;-;1;1;3;-;6
"420195 BALNEARIO ARROIO DO SILVA";-;-;-;-;-;-;-;-;2;-;2;-;4
"420200 BALNEARIO CAMBORIU";27;42;62;94;132;227;333;491;139;38;37;19;1641
"420205 BALNEARIO BARRA DO SUL";-;3;3;5;8;11;29;43;118;93;36;2;351
"420207 BALNEARIO GAIVOTA";-;-;-;-;-;-;-;-;-;-;-;2;2
"420208 BANDEIRANTE";-;-;-;-;-;-;-;-;-;-;-;2;2
"420210 BARRA VELHA";-;3;2;-;8;14;18;24;29;56;81;24;259
"420215 BELMONTE";-;-;-;-;-;1;1;-;-;1;2;-;5
"420220 BENEDITO NOVO";-;-;-;-;-;-;1;-;-;4;3;1;9
"420230 BIGUACU";4;10;5;5;8;11;16;12;25;28;43;55;222
"420240 BLUMENAU";60;92;152;226;373;648;1164;1286;1542;1618;2152;707;10020
"420245 BOMBINHAS";2;-;1;4;15;18;42;73;71;89;46;1;362
"420253 BOM JESUS";-;-;-;-;1;2;-;5;5;10;30;21;74
"420257 BOM JESUS DO OESTE";-;-;-;1;1;-;-;-;2;1;-;1;6
"420270 BOTUVERA";-;-;1;-;1;-;2;1;1;24;89;53;172
"420280 BRACO DO NORTE";-;-;-;-;1;-;3;4;3;9;18;3;41
"420287 BRUNOPOLIS";-;-;-;-;-;-;-;-;-;1;1;1;3
"420290 BRUSQUE";1;2;9;17;21;53;66;95;78;89;26;-;457
"420300 CACADOR";-;-;-;1;-;-;-;1;2;-;5;3;12
"420310 CAIBI";-;-;-;-;-;-;5;2;3;7;10;6;33
"420320 CAMBORIU";2;2;1;7;15;11;38;59;51;208;494;297;1185
"420330 CAMPO ALEGRE";1;-;-;1;-;-;1;3;-;1;5;5;17
"420340 CAMPO BELO DO SUL";-;-;-;-;-;-;-;-;1;-;-;-;1
"420350 CAMPO ERE";-;1;-;1;1;-;2;4;1;10;24;5;49
"420360 CAMPOS NOVOS";-;-;-;-;-;1;-;1;1;2;7;3;15
"420370 CANELINHA";1;-;-;1;-;1;1;6;6;13;14;12;55
"420380 CANOINHAS";1;-;3;-;-;-;2;2;1;5;2;-;16
"420390 CAPINZAL";-;-;-;1;-;-;1;-;2;5;10;5;24
"420395 CAPIVARI DE BAIXO";-;-;-;-;1;-;3;7;10;5;5;3;34
"420400 CATANDUVAS";-;-;-;-;-;-;-;-;-;1;2;1;4
"420410 CAXAMBU DO SUL";-;-;-;-;-;1;18;16;10;26;32;1;104
"420415 CELSO RAMOS";-;-;-;-;-;-;-;-;-;-;1;-;1
"420419 CHAPADAO DO LAGEADO";-;-;-;-;-;-;1;-;-;-;-;-;1
"420420 CHAPECO";5;3;6;6;11;18;39;63;83;205;430;146;1015
"420425 COCAL DO SUL";-;-;1;-;-;-;-;-;-;2;-;-;3
"420430 CONCORDIA";-;-;1;5;3;4;5;13;19;26;67;65;208
"420435 CORDILHEIRA ALTA";-;-;-;-;-;-;-;-;-;-;2;-;2
"420440 CORONEL FREITAS";-;-;-;-;-;-;-;1;1;1;-;-;3
"420445 CORONEL MARTINS";-;-;2;-;1;-;-;-;1;-;-;-;4
"420450 CORUPA";-;-;-;-;-;1;-;4;7;11;22;7;52
"420455 CORREIA PINTO";-;-;-;-;-;-;1;2;-;-;1;-;4
"420460 CRICIUMA";3;-;-;2;1;4;7;5;3;4;14;13;56
"420470 CUNHA PORA";-;2;1;-;-;-;1;2;-;1;11;7;25
"420475 CUNHATAI";-;-;-;-;-;-;-;-;1;2;4;1;8
"420480 CURITIBANOS";-;-;-;-;-;-;-;2;-;4;5;-;11
"420490 DESCANSO";-;-;-;-;-;-;1;1;5;5;4;3;19
"420500 DIONISIO CERQUEIRA";2;-;2;5;2;-;3;8;3;14;12;5;56
"420510 DONA EMMA";-;1;-;-;-;1;1;1;2;2;4;1;13
"420515 DOUTOR PEDRINHO";1;-;-;1;-;-;-;1;-;-;-;-;3
"420517 ENTRE RIOS";-;-;-;-;-;-;-;-;-;1;4;12;17
"420519 ERMO";-;-;-;-;-;-;-;-;-;-;1;-;1
"420530 FAXINAL DOS GUEDES";-;-;-;-;-;-;-;-;-;1;3;4;8
"420535 FLOR DO SERTAO";-;-;-;-;-;-;1;1;-;-;-;-;2
"420540 FLORIANOPOLIS";168;216;199;233;232;300;460;687;829;879;1294;898;6395
"420543 FORMOSA DO SUL";-;-;-;-;-;-;3;4;1;17;36;11;72
"420545 FORQUILHINHA";-;-;1;-;-;-;-;-;1;-;3;1;6
"420550 FRAIBURGO";-;-;-;-;1;1;-;-;-;1;-;-;3
"420560 GALVAO";-;-;-;-;-;-;1;-;-;10;4;2;17
"420570 GAROPABA";-;-;-;-;-;-;2;-;-;1;1;-;4
"420580 GARUVA";-;1;1;1;1;22;10;18;26;58;54;7;199
"420590 GASPAR";4;3;-;8;5;23;43;62;82;100;140;59;529
"420600 GOVERNADOR CELSO RAMOS";-;-;-;1;1;-;3;2;1;4;3;-;15
"420620 GRAVATAL";-;-;-;2;-;-;2;2;-;1;-;-;7
"420630 GUABIRUBA";-;1;1;3;-;4;3;1;8;1;2;1;25
"420640 GUARACIABA";-;-;-;-;-;-;1;1;-;3;7;1;13
"420650 GUARAMIRIM";6;6;5;3;4;5;5;5;16;15;24;10;104
"420660 GUARUJA DO SUL";-;-;-;1;2;2;8;14;6;21;49;32;135
"420665 GUATAMBU";-;-;-;-;-;1;-;-;8;6;1;-;16
"420670 HERVAL D'OESTE";-;2;-;-;-;-;-;-;-;3;4;2;11
"420680 IBICARE";-;-;-;-;-;-;-;-;-;-;-;1;1
"420690 IBIRAMA";-;-;1;1;-;2;2;-;2;-;6;-;14
"420700 ICARA";-;-;-;-;-;1;-;1;2;-;1;2;7
"420710 ILHOTA";-;-;-;-;-;-;10;39;64;67;37;2;219
"420720 IMARUI";-;-;-;-;-;-;-;1;-;3;3;-;7
"420730 IMBITUBA";-;-;-;-;-;1;1;2;2;2;4;7;19
"420740 IMBUIA";-;-;-;-;1;-;-;-;-;-;-;-;1
"420750 INDAIAL";1;2;6;3;5;15;52;73;105;77;74;2;415
"420757 IOMERE";-;-;-;1;-;-;1;-;-;-;-;-;2
"420760 IPIRA";-;-;-;-;-;-;-;-;-;-;2;-;2
"420765 IPORA DO OESTE";1;1;1;1;1;2;2;2;5;3;7;5;31
"420768 IPUACU";-;-;-;-;-;-;-;-;-;3;3;6;12
"420770 IPUMIRIM";-;-;-;-;-;-;-;-;-;1;-;1;2
"420775 IRACEMINHA";-;-;-;-;-;-;-;-;-;-;1;3;4
"420780 IRANI";-;-;-;-;-;-;-;1;-;2;-;-;3
"420785 IRATI";-;-;-;-;-;-;-;-;-;-;3;-;3
"420790 IRINEOPOLIS";-;-;-;-;-;-;-;2;-;1;3;2;8
"420800 ITA";-;-;-;-;-;-;1;-;1;-;1;2;5
"420810 ITAIOPOLIS";-;-;-;-;-;-;-;1;3;-;2;-;6
"420820 ITAJAI";59;106;287;475;719;1209;1559;1785;2366;1014;152;10;9741
"420830 ITAPEMA";-;3;2;1;6;10;13;17;35;25;8;2;122
"420840 ITAPIRANGA";9;17;17;23;37;50;118;136;119;144;4;-;674
"420845 ITAPOA";1;-;3;4;7;8;20;26;33;49;95;93;339
"420850 ITUPORANGA";-;-;1;-;-;1;2;-;-;1;-;-;5
"420860 JABORA";-;-;-;-;-;-;-;-;-;-;1;-;1
"420870 JACINTO MACHADO";-;-;-;-;-;-;-;-;-;1;-;-;1
"420880 JAGUARUNA";-;-;-;-;-;-;-;1;-;1;1;-;3
"420890 JARAGUA DO SUL";10;10;10;20;25;45;71;122;245;381;566;451;1956
"420895 JARDINOPOLIS";-;-;-;-;-;-;-;-;-;-;1;3;4
"420900 JOACABA";-;-;-;1;-;3;-;4;1;3;2;2;16
"420910 JOINVILLE";188;209;314;395;561;1258;2082;4146;5823;5873;6315;4256;31420
"420917 JUPIA";-;-;-;-;-;-;1;-;-;2;-;-;3
"420920 LACERDOPOLIS";-;-;-;-;-;-;-;-;-;-;-;1;1
"420930 LAGES";-;1;-;1;2;4;3;8;3;1;3;1;27
"420940 LAGUNA";-;-;-;-;-;-;-;1;1;-;-;1;3
"420945 LAJEADO GRANDE";-;-;-;-;-;-;-;-;-;-;2;1;3
"420950 LAURENTINO";-;-;-;-;-;-;-;1;-;-;-;-;1
"420960 LAURO MULLER";-;-;-;-;-;1;-;-;1;-;-;-;2
"420970 LEBON REGIS";1;-;-;-;-;-;-;1;-;2;1;-;5
"420990 LONTRAS";1;-;-;-;-;-;-;1;-;2;-;2;6
"421000 LUIZ ALVES";-;2;-;-;-;1;4;3;6;4;5;6;31
"421003 LUZERNA";-;-;-;-;-;-;-;-;-;1;1;1;3
"421010 MAFRA";-;-;-;-;3;1;3;10;4;3;20;7;51
"421040 MARACAJA";-;-;-;-;-;-;-;-;-;-;1;1;2
"421050 MARAVILHA";1;1;1;9;6;7;17;25;34;38;55;32;226
"421055 MAREMA";-;-;-;-;-;-;-;1;-;-;3;10;14
"421060 MASSARANDUBA";1;-;-;2;-;4;2;4;3;7;10;25;58
"421080 MELEIRO";-;-;-;-;-;-;-;-;-;-;-;1;1
"421090 MODELO";-;-;-;-;-;-;-;-;-;2;-;-;2
"421100 MONDAI";-;-;-;1;1;-;3;3;16;21;24;24;93
"421110 MONTE CASTELO";-;-;-;-;-;-;1;-;-;-;-;-;1
"421120 MORRO DA FUMACA";-;-;-;-;1;-;1;-;-;-;-;-;2
"421130 NAVEGANTES";-;2;6;7;14;43;55;137;154;244;476;315;1453
"421140 NOVA ERECHIM";-;-;-;-;-;-;-;8;3;4;8;6;29
"421145 NOVA ITABERABA";-;-;-;-;-;-;-;-;2;1;4;2;9
"421150 NOVA TRENTO";1;1;-;-;2;-;5;6;4;2;5;-;26
"421165 NOVO HORIZONTE";-;-;-;-;-;1;-;-;-;-;1;4;6
"421170 ORLEANS";-;1;-;-;-;1;-;-;1;2;-;-;5
"421175 OTACILIO COSTA";-;-;-;-;-;1;-;1;1;1;-;-;4
"421180 OURO";-;-;-;-;-;-;-;-;-;-;1;-;1
"421185 OURO VERDE";-;-;-;-;-;-;-;-;-;-;1;-;1
"421190 PALHOCA";3;5;4;6;4;11;11;17;19;12;7;3;102
"421200 PALMA SOLA";-;-;1;1;1;-;-;3;-;4;8;5;23
"421205 PALMEIRA";-;-;-;-;-;-;-;-;-;2;-;-;2
"421210 PALMITOS";-;-;1;1;1;3;4;8;8;15;29;48;118
"421220 PAPANDUVA";-;-;-;-;-;-;-;2;4;8;1;1;16
"421223 PARAISO";-;-;-;-;-;-;-;-;-;2;-;-;2
"421225 PASSO DE TORRES";-;-;-;-;2;-;1;-;1;1;2;-;7
"421227 PASSOS MAIA";-;-;-;-;-;-;-;-;-;1;2;-;3
"421230 PAULO LOPES";-;-;-;-;3;-;-;2;9;7;8;1;30
"421240 PEDRAS GRANDES";-;-;-;-;-;-;-;-;-;1;1;-;2
"421250 PENHA";9;8;19;38;39;46;121;140;88;13;-;-;521
"421265 PESCARIA BRAVA";-;-;-;-;-;-;1;-;-;1;1;-;3
"421270 PETROLANDIA";-;1;-;-;-;1;-;-;-;1;-;1;4
"421280 BALNEARIO PICARRAS";1;5;20;11;25;71;43;7;1;1;-;-;185
"421290 PINHALZINHO";-;-;-;-;-;-;2;3;4;7;5;3;24
"421300 PINHEIRO PRETO";-;-;-;-;-;-;1;-;1;-;-;-;2
"421310 PIRATUBA";-;-;1;-;-;1;-;2;-;-;-;-;4
"421315 PLANALTO ALEGRE";-;-;-;-;-;-;-;-;-;1;2;-;3
"421320 POMERODE";1;5;7;3;14;24;23;19;44;33;65;39;277
"421340 PONTE SERRADA";-;-;-;-;1;1;-;1;5;3;2;-;13
"421350 PORTO BELO";1;-;1;2;4;16;15;28;34;50;80;37;268
"421360 PORTO UNIAO";-;-;-;-;1;-;1;1;1;4;4;7;19
"421370 POUSO REDONDO";1;-;-;-;-;-;-;-;5;1;1;-;8
"421380 PRAIA GRANDE";-;-;-;-;-;-;-;-;1;-;-;-;1
"421390 PRESIDENTE CASTELLO BRANCO";-;-;-;-;-;-;-;-;-;-;4;-;4
"421400 PRESIDENTE GETULIO";-;-;-;-;-;1;-;6;-;-;3;3;13
"421415 PRINCESA";-;-;-;-;-;-;-;-;-;1;2;2;5
"421420 QUILOMBO";-;-;-;-;-;2;1;3;2;2;3;2;15
"421460 RIO DO OESTE";-;-;-;-;-;-;-;-;-;1;-;-;1
"421470 RIO DOS CEDROS";-;1;-;-;-;2;1;3;7;6;6;1;27
"421480 RIO DO SUL";-;-;-;-;-;2;7;7;9;6;8;-;39
"421490 RIO FORTUNA";-;-;-;-;-;-;-;-;1;-;-;-;1
"421500 RIO NEGRINHO";-;-;-;-;1;1;-;2;4;-;4;2;14
"421507 RIQUEZA";-;-;-;-;-;-;-;1;-;1;1;-;3
"421510 RODEIO";-;-;-;3;-;-;3;4;2;3;3;-;18
"421520 ROMELANDIA";-;-;-;-;-;1;-;-;-;1;1;-;3
"421530 SALETE";-;-;-;-;2;-;-;-;-;-;1;-;3
"421535 SALTINHO";-;-;-;-;-;-;1;3;-;1;1;-;6
"421540 SALTO VELOSO";-;-;-;-;-;-;-;-;-;2;-;-;2
"421550 SANTA CECILIA";-;-;-;1;-;-;-;-;-;1;2;-;4
"421555 SANTA HELENA";-;1;-;-;-;1;5;5;-;2;12;1;27
"421565 SANTA ROSA DO SUL";-;-;-;-;-;-;1;2;-;-;-;-;3
"421569 SANTIAGO DO SUL";-;-;-;-;-;-;-;-;-;-;1;1;2
"421570 SANTO AMARO DA IMPERATRIZ";-;7;6;5;2;-;1;8;25;16;-;1;71
"421575 SAO BERNARDINO";-;-;-;-;-;-;-;-;-;1;-;-;1
"421580 SAO BENTO DO SUL";1;-;-;2;2;2;4;4;5;12;-;-;32
"421590 SAO BONIFACIO";-;-;-;-;-;-;-;-;1;-;-;-;1
"421600 SAO CARLOS";-;-;1;-;1;-;1;12;11;16;51;64;157
"421610 SAO DOMINGOS";-;-;-;-;-;-;-;1;-;-;1;-;2
"421620 SAO FRANCISCO DO SUL";5;8;29;43;36;54;73;88;138;126;133;11;744
"421625 SAO JOAO DO OESTE";-;-;-;2;1;1;3;1;4;4;6;-;22
"421630 SAO JOAO BATISTA";1;1;4;5;9;17;20;35;60;47;85;40;324
"421635 SAO JOAO DO ITAPERIU";-;-;-;1;-;1;2;2;2;2;-;2;12
"421640 SAO JOAO DO SUL";-;-;-;-;-;-;-;-;-;1;-;-;1
"421660 SAO JOSE";8;12;21;27;34;50;58;74;107;96;83;9;579
"421670 SAO JOSE DO CEDRO";-;-;-;-;-;5;7;3;7;3;2;-;27
"421690 SAO LOURENCO DO OESTE";2;1;-;2;-;1;3;3;17;15;18;2;64
"421700 SAO LUDGERO";-;-;-;-;-;-;-;1;-;-;7;9;17
"421710 SAO MARTINHO";-;-;-;-;-;-;-;2;-;2;1;-;5
"421720 SAO MIGUEL DO OESTE";1;1;1;4;3;1;9;9;10;35;33;8;115
"421725 SAO PEDRO DE ALCANTARA";-;-;2;-;1;-;-;3;1;2;2;-;11
"421730 SAUDADES";1;-;-;3;1;1;13;11;29;34;12;11;116
"421740 SCHROEDER";-;-;-;-;-;2;2;7;8;11;28;7;65
"421750 SEARA";-;-;1;-;-;1;3;-;3;2;2;2;14
"421755 SERRA ALTA";-;-;-;-;-;-;-;-;-;1;-;-;1
"421760 SIDEROPOLIS";1;1;-;-;-;-;1;-;-;-;-;1;4
"421770 SOMBRIO";-;-;-;-;1;-;-;-;1;6;2;10;20
"421780 TAIO";-;-;-;-;2;-;1;3;3;3;1;-;13
"421795 TIGRINHOS";-;-;-;-;-;-;1;-;-;2;1;2;6
"421800 TIJUCAS";10;28;46;38;76;99;171;213;263;176;21;15;1156
"421810 TIMBE DO SUL";-;-;-;-;-;-;-;-;-;-;1;-;1
"421820 TIMBO";3;1;-;1;3;4;14;21;34;27;12;2;122
"421830 TRES BARRAS";-;-;-;-;-;-;1;-;-;-;-;-;1
"421840 TREZE DE MAIO";-;-;-;-;-;-;-;-;1;-;-;-;1
"421850 TREZE TILIAS";-;-;-;-;-;2;-;1;2;2;11;8;26
"421860 TROMBUDO CENTRAL";-;-;-;-;-;-;-;-;1;1;-;-;2
"421870 TUBARAO";1;-;-;-;-;6;9;10;16;30;54;18;144
"421875 TUNAPOLIS";-;-;1;2;-;2;-;1;3;2;4;5;20
"421885 UNIAO DO OESTE";-;-;-;-;-;-;-;-;-;-;-;1;1
"421900 URUSSANGA";-;-;-;-;-;-;-;-;3;-;1;1;5
"421910 VARGEAO";-;-;-;-;-;-;-;-;-;-;2;2;4
"421917 VARGEM BONITA";-;-;-;-;-;-;-;-;-;-;-;1;1
"421920 VIDAL RAMOS";-;1;-;-;-;-;1;-;-;2;1;-;5
"421930 VIDEIRA";-;-;2;1;1;2;3;5;11;5;8;2;40
"421935 VITOR MEIRELES";-;-;-;-;1;1;-;-;-;-;-;-;2
"421950 XANXERE";-;1;1;1;1;4;8;11;21;17;53;66;184
"421970 XAXIM";-;-;-;-;-;-;1;5;15;41;82;52;196
"422000 BALNEARIO RINCAO";-;-;-;-;-;-;-;-;-;1;-;-;1
"430020 AJURICABA";-;-;-;-;-;1;-;-;2;1;6;5;15
"430030 ALECRIM";-;-;1;-;1;11;18;40;64;58;60;20;273
"430040 ALEGRETE";1;-;-;2;-;1;3;6;10;30;43;13;109
"430045 ALEGRIA";-;1;-;-;1;1;4;12;24;27;40;22;132
"430047 ALMIRANTE TAMANDARE DO SUL";-;-;-;-;1;-;-;-;-;-;-;-;1
"430050 ALPESTRE";-;-;-;-;-;-;-;-;4;-;2;7;13
"430060 ALVORADA";-;1;2;1;2;15;13;31;104;142;155;90;556
"430064 AMETISTA DO SUL";-;-;-;-;-;-;-;1;4;2;6;3;16
"430070 ANTA GORDA";-;-;-;-;-;-;-;-;-;1;-;-;1
"430080 ANTONIO PRADO";-;-;-;-;-;-;-;2;1;5;6;-;14
"430087 ARARICA";-;-;-;1;3;1;1;6;9;4;2;-;27
"430090 ARATIBA";-;-;-;-;-;-;-;-;-;-;-;1;1
"430100 ARROIO DO MEIO";-;-;1;-;-;-;-;5;1;2;2;-;11
"430105 ARROIO DO SAL";-;-;-;-;-;-;1;-;-;1;2;-;4
"430107 ARROIO DO PADRE";-;-;1;-;-;-;-;-;1;-;-;-;2
"430110 ARROIO DOS RATOS";-;-;-;-;-;-;2;-;-;2;1;-;5
"430120 ARROIO DO TIGRE";-;-;-;-;-;-;-;-;2;-;3;3;8
"430130 ARROIO GRANDE";-;-;-;1;-;-;-;1;2;-;1;-;5
"430140 ARVOREZINHA";-;-;1;-;-;-;-;-;2;1;1;-;5
"430150 AUGUSTO PESTANA";-;-;-;-;-;-;-;1;-;3;1;-;5
"430155 AUREA";-;-;-;-;-;-;-;-;-;-;-;5;5
"430160 BAGE";-;-;-;-;-;1;2;2;-;2;1;-;8
"430163 BALNEARIO PINHAL";-;-;-;-;-;-;-;1;-;-;-;-;1
"430165 BARAO";-;-;-;-;-;-;-;-;-;-;2;-;2
"430170 BARAO DE COTEGIPE";-;-;-;-;1;1;-;-;2;2;1;-;7
"430175 BARAO DO TRIUNFO";1;-;-;-;-;-;-;-;-;-;-;-;1
"430185 BARRA DO GUARITA";84;65;66;54;30;36;7;17;5;9;14;1;388
"430190 BARRA DO RIBEIRO";-;-;-;-;-;-;-;-;-;3;2;-;5
"430195 BARRA FUNDA";-;-;-;-;-;-;1;9;5;4;6;2;27
"430200 BARROS CASSAL";-;-;-;-;-;-;-;-;-;1;-;-;1
"430205 BENJAMIN CONSTANT DO SUL";-;-;-;-;-;-;-;-;-;-;1;-;1
"430210 BENTO GONCALVES";-;-;-;3;6;3;5;11;9;11;30;6;84
"430215 BOA VISTA DAS MISSOES";-;-;-;-;-;-;-;3;7;5;-;-;15
"430220 BOA VISTA DO BURICA";-;-;-;1;1;1;3;2;1;10;6;2;27
"430222 BOA VISTA DO CADEADO";-;-;-;-;1;-;-;-;1;2;2;1;7
"430230 BOM JESUS";-;-;-;-;-;-;-;-;-;1;-;-;1
"430235 BOM PRINCIPIO";-;-;-;2;-;-;2;3;1;8;1;1;18
"430237 BOM PROGRESSO";-;-;-;-;1;2;8;7;9;12;2;4;45
"430240 BOM RETIRO DO SUL";-;-;-;-;-;-;3;-;-;2;-;-;5
"430245 BOQUEIRAO DO LEAO";-;-;-;-;-;-;-;1;-;-;-;-;1
"430250 BOSSOROCA";-;-;-;-;-;-;-;1;-;-;1;-;2
"430258 BOZANO";-;1;-;-;-;-;-;-;1;-;1;-;3
"430260 BRAGA";-;-;1;-;2;-;6;13;16;7;16;4;65
"430265 BROCHIER";-;-;-;-;-;-;-;-;-;-;-;4;4
"430270 BUTIA";-;-;-;-;-;-;-;-;1;1;-;1;3
"430280 CACAPAVA DO SUL";-;-;-;-;-;-;-;1;1;1;3;2;8
"430290 CACEQUI";-;-;-;-;-;-;-;-;1;1;-;-;2
"430300 CACHOEIRA DO SUL";1;2;-;2;1;3;8;31;69;57;46;2;222
"430310 CACHOEIRINHA";-;1;1;4;9;16;19;51;112;160;255;100;728
"430320 CACIQUE DOBLE";-;-;-;-;-;-;-;-;1;-;-;-;1
"430330 CAIBATE";-;-;-;-;-;-;-;1;-;1;1;1;4
"430340 CAICARA";-;-;-;-;-;-;8;13;9;14;12;20;76
"430350 CAMAQUA";-;-;-;-;-;-;-;-;1;1;3;-;5
"430355 CAMARGO";-;-;-;-;1;-;-;-;-;-;-;-;1
"430370 CAMPINA DAS MISSOES";-;-;-;-;-;2;1;3;3;4;20;4;37
"430380 CAMPINAS DO SUL";-;-;-;-;-;-;-;-;-;-;1;-;1
"430390 CAMPO BOM";1;1;2;3;6;13;21;40;79;125;152;106;549
"430400 CAMPO NOVO";-;-;-;-;2;-;4;5;14;15;20;12;72
"430410 CAMPOS BORGES";-;-;-;-;-;-;-;-;-;1;-;-;1
"430420 CANDELARIA";-;-;-;-;2;-;1;11;14;9;13;4;54
"430430 CANDIDO GODOI";-;-;1;-;-;2;5;3;5;10;8;6;40
"430435 CANDIOTA";-;-;-;-;-;-;1;-;1;6;-;-;8
"430440 CANELA";-;-;1;-;1;2;1;3;2;1;3;-;14
"430460 CANOAS";11;15;41;33;57;122;193;212;344;280;54;15;1377
"430462 CAPAO BONITO DO SUL";-;-;-;-;-;-;-;-;-;-;1;-;1
"430463 CAPAO DA CANOA";-;-;-;-;-;1;1;1;2;2;3;2;12
"430465 CAPAO DO CIPO";-;-;-;-;-;-;-;1;1;2;2;-;6
"430466 CAPAO DO LEAO";-;1;-;-;-;-;-;3;2;5;3;3;17
"430468 CAPELA DE SANTANA";-;-;1;-;-;2;8;23;33;39;40;21;167
"430469 CAPITAO";-;-;-;-;-;-;-;-;-;1;-;-;1
"430470 CARAZINHO";1;-;-;1;1;1;3;2;2;5;10;4;30
"430480 CARLOS BARBOSA";1;1;-;1;1;2;-;-;3;3;2;2;16
"430500 CATUIPE";-;-;-;-;2;3;2;12;11;12;26;10;78
"430510 CAXIAS DO SUL";2;2;-;2;4;2;7;2;8;10;21;3;63
"430512 CERRITO";-;-;-;-;-;-;-;-;-;1;-;-;1
"430513 CERRO BRANCO";-;-;-;-;-;-;-;-;1;-;-;-;1
"430515 CERRO GRANDE";-;-;-;-;-;1;1;2;2;4;2;-;12
"430520 CERRO LARGO";4;9;27;31;65;62;139;109;89;126;88;1;750
"430530 CHAPADA";-;-;1;1;3;-;3;3;2;4;5;1;23
"430535 CHARQUEADAS";-;-;1;-;-;1;2;2;-;9;7;1;23
"430540 CHIAPETTA";-;-;-;-;-;1;1;2;-;1;2;-;7
"430543 CHUI";-;-;-;-;-;-;-;-;-;-;1;-;1
"430544 CHUVISCA";-;-;-;-;-;-;-;-;-;-;1;-;1
"430545 CIDREIRA";-;-;-;-;-;-;-;-;-;-;1;-;1
"430558 COLINAS";-;-;-;-;-;-;-;-;-;3;1;3;7
"430560 COLORADO";-;-;-;-;-;-;1;1;-;-;-;-;2
"430570 CONDOR";-;-;-;-;2;1;9;13;22;41;38;13;139
"430580 CONSTANTINA";-;-;-;-;2;-;1;12;5;-;-;-;20
"430587 CORONEL BARROS";-;-;-;1;-;3;1;-;4;4;11;8;32
"430590 CORONEL BICACO";-;-;1;-;3;3;1;4;25;32;12;3;84
"430597 COXILHA";-;-;-;1;-;-;-;-;2;-;-;-;3
"430600 CRISSIUMAL";-;-;1;11;16;32;95;95;105;170;226;81;832
"430605 CRISTAL";-;-;-;-;-;-;-;-;1;1;-;-;2
"430607 CRISTAL DO SUL";-;-;-;-;-;-;-;-;2;-;-;5;7
"430610 CRUZ ALTA";4;1;2;3;3;5;13;20;35;74;99;51;310
"430620 CRUZEIRO DO SUL";-;-;-;-;-;-;-;-;1;4;8;1;14
"430632 DERRUBADAS";5;12;16;35;23;13;50;52;53;51;63;22;395
"430635 DEZESSEIS DE NOVEMBRO";2;-;-;-;-;-;-;1;-;5;1;2;11
"430640 DOIS IRMAOS";2;5;13;8;16;9;31;35;64;72;76;44;375
"430642 DOIS IRMAOS DAS MISSOES";-;-;-;-;1;-;-;4;2;8;8;12;35
"430645 DOIS LAJEADOS";-;-;-;-;-;-;-;-;-;1;3;4;8
"430650 DOM FELICIANO";-;-;-;-;-;-;-;-;-;-;1;-;1
"430660 DOM PEDRITO";-;-;-;-;-;-;-;1;-;6;4;-;11
"430673 DOUTOR MAURICIO CARDOSO";-;-;-;-;2;3;6;15;15;26;33;24;124
"430676 ELDORADO DO SUL";-;-;-;-;2;-;1;8;5;12;23;4;55
"430680 ENCANTADO";-;-;-;-;-;-;-;1;-;1;2;-;4
"430690 ENCRUZILHADA DO SUL";-;-;-;-;-;1;3;1;4;14;2;-;25
"430692 ENGENHO VELHO";-;-;-;-;-;-;-;-;-;-;2;1;3
"430693 ENTRE-IJUIS";-;-;-;-;-;-;-;1;3;2;-;-;6
"430695 ENTRE RIOS DO SUL";-;-;-;-;-;-;-;-;1;-;-;-;1
"430700 ERECHIM";-;1;2;2;4;6;16;34;64;98;93;43;363
"430710 HERVAL";-;-;-;-;-;1;-;1;-;-;2;-;4
"430720 ERVAL GRANDE";-;-;-;-;-;-;-;-;-;-;1;1;2
"430730 ERVAL SECO";-;-;1;1;-;-;1;2;1;4;17;1;28
"430745 ESPERANCA DO SUL";-;-;-;3;-;5;4;2;25;26;12;-;77
"430750 ESPUMOSO";1;1;-;-;-;-;1;-;2;1;-;-;6
"430755 ESTACAO";-;-;-;1;-;-;-;-;-;5;1;-;7
"430760 ESTANCIA VELHA";1;1;-;1;1;7;12;15;27;46;66;33;210
"430770 ESTEIO";-;-;1;2;1;6;13;30;34;102;91;52;332
"430780 ESTRELA";-;1;-;1;4;17;20;34;34;47;54;15;227
"430786 FAGUNDES VARELA";-;-;-;-;1;-;-;-;-;1;-;-;2
"430790 FARROUPILHA";1;-;-;-;-;4;1;6;18;26;23;19;98
"430800 FAXINAL DO SOTURNO";-;-;-;-;-;-;2;5;1;3;-;3;14
"430807 FAZENDA VILANOVA";-;-;-;-;1;1;-;-;1;5;2;1;11
"430810 FELIZ";-;-;-;-;-;-;3;1;4;4;3;1;16
"430820 FLORES DA CUNHA";1;-;-;-;-;-;-;-;-;-;3;-;4
"430840 FORMIGUEIRO";-;-;-;-;-;-;1;-;-;-;-;-;1
"430843 FORQUETINHA";-;-;-;-;-;-;-;-;2;-;-;-;2
