2022
http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def
"Município de notificação";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Total"
"260345 CAMARAGIBE";-;-;1;-;3;1;4;11;13;19;8;2;1;-;-;1;-;-;1;-;-;1;1;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;75
"260350 CAMOCIM DE SAO FELIX";-;-;1;-;1;-;-;11;14;26;17;6;-;-;2;1;2;1;1;1;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;3;-;-;-;96
"260360 CAMUTANGA";-;-;-;-;-;1;5;5;7;6;1;-;1;-;2;2;1;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;37
"260370 CANHOTINHO";-;-;2;-;1;2;1;2;6;3;1;2;1;2;2;3;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34
"260380 CAPOEIRAS";-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"260390 CARNAIBA";-;-;1;-;1;1;1;1;2;-;2;3;1;4;9;23;27;25;4;5;9;5;3;5;1;1;-;-;1;-;-;2;-;-;2;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;142
"260392 CARNAUBEIRA DA PENHA";-;-;-;-;-;-;9;7;5;6;3;4;1;3;2;12;15;4;1;3;1;2;3;-;-;-;-;2;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87
"260400 CARPINA";-;1;-;-;-;1;1;-;-;1;1;2;-;2;1;1;2;-;10;1;3;4;7;4;3;1;1;2;2;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;59
"260410 CARUARU";5;5;4;7;5;8;7;50;306;269;244;61;9;12;11;22;22;54;30;19;16;24;12;11;14;11;5;4;13;9;14;5;5;9;7;5;8;3;9;5;4;7;4;8;4;6;3;3;3;1;-;1;1383
"260415 CASINHAS";-;-;-;-;-;-;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"260420 CATENDE";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260430 CEDRO";-;1;-;1;1;1;1;5;2;3;7;-;1;2;1;4;-;1;1;2;1;3;2;3;1;2;-;1;3;-;-;2;1;2;-;1;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;59
"260440 CHA DE ALEGRIA";-;-;-;-;1;9;27;42;42;16;9;2;2;1;-;-;4;2;-;1;2;2;2;-;1;1;1;-;-;-;-;-;2;-;-;-;-;-;-;2;3;1;-;2;-;-;-;-;-;1;-;-;178
"260450 CHA GRANDE";1;-;-;1;1;4;5;11;17;12;5;2;-;-;1;-;-;1;1;-;-;1;1;-;-;-;-;2;-;-;3;9;1;-;-;2;1;1;8;4;1;5;2;10;8;6;6;22;18;6;2;-;181
"260460 CONDADO";-;-;-;-;2;-;2;7;16;37;43;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;114
"260470 CORRENTES";-;-;-;-;1;2;2;-;-;6;2;-;-;-;-;-;-;-;-;-;-;-;15;22;22;10;-;5;4;6;7;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;105
"260480 CORTES";-;-;-;-;-;-;-;1;-;1;3;1;-;-;-;-;-;-;-;-;2;1;-;3;-;1;-;1;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"260490 CUMARU";1;2;1;-;1;-;1;1;1;1;4;-;-;1;-;-;-;-;4;4;1;1;1;1;1;1;2;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;36
"260500 CUPIRA";-;-;1;3;6;1;3;16;13;7;8;-;7;7;4;1;10;10;3;1;4;3;2;3;4;4;6;3;4;4;2;8;4;6;1;3;4;-;1;-;-;1;2;4;-;3;2;1;4;4;1;-;189
"260510 CUSTODIA";-;-;-;-;-;2;-;3;3;-;-;1;1;3;3;4;3;2;4;5;4;1;3;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;47
"260515 DORMENTES";-;-;2;5;7;11;6;16;8;13;6;12;5;7;7;-;4;3;4;4;4;3;6;7;1;1;7;4;5;9;5;1;5;5;2;3;3;-;-;1;-;-;-;-;-;-;1;1;3;2;-;1;200
"260520 ESCADA";3;4;2;2;1;3;1;13;18;13;11;15;2;11;3;1;6;6;1;-;1;-;-;1;1;-;-;2;3;-;2;4;-;-;2;2;2;-;-;-;-;1;1;-;-;5;-;-;-;1;-;-;144
"260530 EXU";3;3;3;2;11;10;13;14;21;38;21;11;13;7;10;4;4;10;2;2;1;4;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;1;2;2;1;-;-;-;-;1;1;1;2;1;-;223
"260540 FEIRA NOVA";1;1;1;-;1;-;2;1;2;5;9;-;-;-;-;-;-;2;2;3;-;1;-;-;1;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
"260545 FERNANDO DE NORONHA";3;-;1;-;1;1;-;3;4;3;-;1;1;1;5;9;8;2;4;5;-;3;-;2;1;1;2;2;2;1;-;4;1;7;5;11;5;4;-;4;3;3;3;1;-;-;-;-;-;-;-;-;117
"260550 FERREIROS";-;-;-;-;-;-;-;1;12;23;13;8;2;3;3;1;5;3;3;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81
"260560 FLORES";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260570 FLORESTA";-;-;-;1;-;1;7;7;8;15;6;9;6;4;3;6;9;3;3;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;91
"260580 FREI MIGUELINHO";-;1;-;1;-;-;-;-;-;-;1;1;1;6;8;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;28
"260590 GAMELEIRA";-;-;-;1;-;4;4;9;7;14;9;3;1;-;1;-;-;2;-;-;2;1;1;-;3;2;4;1;4;1;2;3;3;-;3;1;-;1;5;5;3;7;1;-;3;1;2;-;3;-;1;-;118
"260600 GARANHUNS";7;2;3;10;23;32;64;116;108;89;109;73;7;3;10;16;19;9;20;34;20;17;18;30;20;7;6;7;6;6;12;9;2;3;7;7;7;6;11;7;6;6;6;10;10;11;6;8;6;4;3;1;1039
"260610 GLORIA DO GOITA";-;-;-;-;-;1;-;1;1;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"260620 GOIANA";1;2;5;5;8;8;22;27;46;57;38;28;4;4;5;9;12;13;9;10;4;8;10;7;2;8;10;12;12;4;8;9;13;6;5;7;2;4;10;7;4;14;10;6;15;11;5;11;9;7;8;7;568
"260630 GRANITO";-;1;1;3;3;-;5;12;13;16;14;6;15;13;12;16;12;8;18;8;4;7;8;7;5;8;5;1;3;2;1;3;2;3;5;2;-;2;1;2;-;-;-;1;-;2;4;2;1;-;-;-;257
"260640 GRAVATA";1;-;-;-;-;-;1;1;-;2;8;28;3;6;6;3;-;-;2;11;5;5;-;1;5;5;1;-;1;1;-;-;1;3;4;6;4;1;2;1;-;-;-;2;-;-;-;-;-;2;1;-;123
"260650 IATI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260660 IBIMIRIM";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;3;1;-;-;-;-;1;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;14
"260670 IBIRAJUBA";-;-;-;-;-;-;-;1;1;-;1;4;1;-;-;1;2;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"260680 IGARASSU";5;7;7;4;7;10;37;75;120;96;54;20;15;17;34;22;13;20;24;18;8;12;12;15;16;12;21;7;6;5;2;5;4;1;4;6;2;1;9;7;5;9;6;13;8;3;8;9;7;1;4;2;835
"260690 IGUARACY";-;-;-;-;3;3;1;2;1;1;2;-;-;-;1;1;-;1;2;2;4;1;-;1;-;-;-;1;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
"260700 INAJA";-;-;-;-;-;-;-;3;7;6;1;2;-;-;-;-;-;-;-;2;2;1;-;-;1;1;-;-;-;1;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
"260710 INGAZEIRA";-;1;-;-;1;-;-;-;11;14;18;4;2;-;-;4;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57
"260720 IPOJUCA";-;1;-;1;-;-;2;4;1;4;2;1;1;2;1;-;-;1;-;-;1;-;-;-;-;-;-;1;2;-;-;-;2;-;1;1;1;1;-;-;1;-;1;-;-;-;-;-;-;-;1;1;35
"260730 IPUBI";-;2;3;2;10;10;9;4;1;2;1;-;1;2;11;7;3;8;-;1;2;1;-;1;1;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85
"260740 ITACURUBA";-;1;-;-;-;-;4;3;3;4;4;3;2;1;2;2;1;3;3;3;2;-;-;-;-;-;1;2;1;1;2;2;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;52
"260750 ITAIBA";1;5;2;3;1;-;1;1;4;15;20;21;18;19;3;6;1;1;2;3;6;4;-;-;-;5;-;2;-;2;3;5;1;3;1;1;2;2;4;1;-;1;2;3;-;-;1;3;1;1;-;-;181
"260760 ILHA DE ITAMARACA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;1;2;-;2;2;2;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;19
"260765 ITAMBE";-;-;-;-;-;2;3;10;8;8;7;5;-;-;-;-;-;-;1;2;-;2;3;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53
"260770 ITAPETIM";-;-;-;-;-;-;-;1;3;2;8;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;3;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"260775 ITAPISSUMA";-;-;-;-;-;-;3;1;3;1;1;1;-;1;-;-;2;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"260780 ITAQUITINGA";-;-;-;1;1;2;5;13;43;64;21;10;-;-;4;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;2;1;1;-;-;-;1;-;1;-;-;178
"260790 JABOATAO DOS GUARARAPES";9;6;12;16;51;80;115;251;330;342;259;187;150;151;84;130;110;115;165;83;52;43;38;73;75;75;28;54;63;51;61;61;71;57;68;28;30;11;29;27;37;21;16;15;16;10;7;13;9;10;7;12;3814
"260795 JAQUEIRA";-;-;-;-;1;5;2;1;1;1;1;1;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"260800 JATAUBA";-;1;-;-;2;1;1;1;2;6;3;-;-;-;-;1;1;-;2;2;1;1;3;-;1;-;-;-;2;8;2;3;4;4;3;5;8;7;1;4;3;6;1;1;3;4;3;6;4;4;2;2;119
"260805 JATOBA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;1;-;1;3;3;9;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"260810 JOAO ALFREDO";-;-;-;-;-;-;-;2;7;12;2;6;3;1;-;-;-;-;-;-;2;1;-;-;-;-;2;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;44
"260825 JUCATI";-;-;-;-;-;-;-;1;-;3;3;3;4;-;3;1;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"260830 JUPI";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"260840 JUREMA";-;-;-;-;-;1;5;5;4;6;6;3;3;4;8;11;10;6;10;3;2;1;2;-;1;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;97
"260845 LAGOA DO CARRO";-;-;-;-;2;-;4;7;3;7;6;-;-;2;2;4;3;3;1;5;1;3;4;-;-;-;4;1;3;2;3;1;-;1;-;-;-;1;1;-;1;-;-;-;1;1;-;1;-;3;-;-;81
"260850 LAGOA DE ITAENGA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"260860 LAGOA DO OURO";-;-;-;-;-;-;1;-;-;1;2;1;1;-;-;3;12;19;20;11;9;8;10;14;12;5;1;3;3;3;3;3;5;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153
"260870 LAGOA DOS GATOS";-;-;-;-;2;1;1;3;1;1;-;-;-;1;-;-;1;2;7;22;7;11;3;7;7;6;3;3;4;2;2;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;102
"260875 LAGOA GRANDE";-;-;1;2;1;13;12;46;45;83;63;6;1;-;1;-;-;-;2;-;1;3;1;2;1;1;2;2;2;1;2;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;299
"260880 LAJEDO";-;-;-;-;2;1;2;2;3;4;-;10;8;9;4;2;8;4;2;-;-;5;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69
"260890 LIMOEIRO";2;1;5;5;5;8;9;31;28;32;39;36;5;2;6;4;1;2;1;2;5;4;4;5;7;3;3;3;9;6;3;2;6;4;1;2;3;6;5;2;1;7;1;2;2;4;6;1;5;7;2;-;345
"260900 MACAPARANA";-;-;-;-;3;2;1;4;17;21;49;14;9;4;1;7;2;4;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;142
"260910 MACHADOS";-;-;-;-;6;2;5;4;4;22;9;20;19;17;22;39;34;37;38;48;41;42;22;19;11;12;4;4;5;8;5;11;4;3;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;520
"260915 MANARI";-;-;-;-;-;-;-;2;1;2;1;-;-;-;-;1;-;1;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"260920 MARAIAL";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"260930 MIRANDIBA";-;-;1;-;2;1;2;13;9;15;5;1;4;2;5;12;4;3;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82
"260940 MORENO";-;-;-;1;-;-;1;7;11;13;16;2;-;-;-;3;1;-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;62
"260950 NAZARE DA MATA";-;6;16;10;5;23;48;50;44;45;38;25;26;19;9;10;3;6;1;1;-;1;1;2;2;2;5;1;3;1;-;6;3;3;1;2;2;2;-;1;1;1;-;1;1;2;1;-;-;-;-;-;430
"260960 OLINDA";4;12;6;6;1;8;5;2;12;23;20;17;19;1;1;10;7;6;3;4;3;6;6;6;1;2;10;6;5;10;8;10;9;9;13;5;5;2;2;19;11;-;4;2;-;2;2;5;6;3;5;3;347
"260970 OROBO";-;-;1;1;1;-;-;2;3;4;10;3;1;4;6;11;17;3;6;2;1;3;3;5;5;10;2;-;-;-;-;1;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;108
"260980 OROCO";-;1;-;1;-;-;2;1;-;3;7;2;7;2;9;12;4;6;7;9;1;1;1;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;79
"260990 OURICURI";2;2;1;-;-;-;-;7;4;6;12;3;3;2;6;4;2;2;1;1;2;2;3;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;1;-;-;75
"261000 PALMARES";-;-;2;-;3;2;1;7;3;12;6;1;3;3;9;5;8;9;2;8;7;6;4;13;11;12;6;10;7;3;2;8;3;5;-;7;3;1;3;3;1;1;-;1;2;1;1;1;2;-;-;-;208
"261010 PALMEIRINA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"261020 PANELAS";-;-;-;-;1;1;3;6;3;11;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;35
"261030 PARANATAMA";3;1;-;-;-;1;1;5;1;12;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
"261040 PARNAMIRIM";-;-;-;3;1;2;5;14;13;8;10;-;1;1;1;1;-;2;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;67
"261050 PASSIRA";2;-;-;1;-;1;8;8;7;17;23;3;2;-;4;5;5;1;1;8;8;1;4;6;1;-;-;2;2;-;-;1;1;3;1;-;1;1;-;2;3;1;-;-;-;-;1;2;3;3;4;-;147
"261060 PAUDALHO";4;2;2;3;2;2;19;30;28;4;1;6;30;18;3;8;7;2;3;3;1;8;11;7;6;4;2;2;2;7;13;13;13;15;12;16;22;11;11;14;15;15;8;17;9;6;13;6;19;1;-;-;476
"261070 PAULISTA";37;42;25;33;37;52;29;16;42;50;37;41;71;40;40;28;36;62;65;26;25;42;47;59;61;42;54;53;49;30;55;39;33;27;25;22;26;27;22;32;40;37;21;29;62;39;31;37;20;15;19;20;1949
"261080 PEDRA";-;-;-;1;-;-;1;-;-;4;-;-;-;-;-;2;-;-;-;-;1;1;2;-;-;-;2;-;-;1;2;-;4;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;23
"261090 PESQUEIRA";-;1;-;-;-;2;-;1;15;20;12;10;2;1;1;-;4;6;8;-;1;5;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;96
"261100 PETROLANDIA";-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;3;2;-;-;-;1;-;-;-;1;-;2;-;1;-;1;2;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;21
"261110 PETROLINA";11;12;10;49;32;47;121;195;276;204;185;81;25;17;17;13;15;6;6;7;6;5;4;3;3;1;3;-;1;-;1;5;-;2;1;1;-;2;1;6;1;2;-;-;3;2;2;4;10;4;5;4;1411
"261120 POCAO";-;-;-;-;-;-;-;1;9;18;16;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46
"261130 POMBOS";-;-;-;-;-;-;2;4;3;21;10;4;-;1;7;-;-;4;2;1;1;2;1;-;1;-;-;-;2;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69
"261140 PRIMAVERA";-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;9
"261150 QUIPAPA";4;1;3;5;9;3;7;5;29;26;27;24;13;9;13;26;26;35;31;26;52;25;40;37;20;25;8;8;17;4;5;4;2;3;7;2;-;-;1;1;1;1;2;1;2;1;-;1;5;1;-;-;598
"261153 QUIXABA";-;-;-;2;1;-;-;1;3;2;10;3;-;-;-;3;6;10;7;14;7;5;8;3;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88
"261160 RECIFE";91;86;79;117;144;210;380;561;521;495;502;221;105;109;98;105;104;114;121;112;96;102;115;117;103;123;106;113;124;103;166;139;138;127;122;88;96;106;86;77;99;94;68;92;81;55;54;71;75;77;68;24;7380
"261170 RIACHO DAS ALMAS";-;-;-;-;-;1;1;3;6;34;25;2;2;1;2;1;1;1;-;4;2;9;5;1;2;-;1;1;2;1;1;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;113
"261180 RIBEIRAO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"261190 RIO FORMOSO";-;-;-;-;-;-;1;-;3;23;15;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51
"261200 SAIRE";-;-;-;-;-;-;1;2;2;1;-;1;-;-;-;2;2;3;1;1;4;-;6;2;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;32
"261210 SALGADINHO";-;-;-;-;-;2;1;-;1;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"261220 SALGUEIRO";-;2;-;1;7;13;10;25;33;64;78;35;20;21;41;90;36;34;20;5;11;4;1;2;1;2;-;-;-;-;1;-;-;1;1;1;4;1;-;1;-;-;1;-;2;3;5;4;2;3;-;1;587
"261230 SALOA";-;-;-;-;-;-;-;-;2;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"261240 SANHARO";-;-;-;1;-;1;2;2;2;3;4;2;-;-;-;1;-;-;-;1;-;1;3;3;-;-;4;1;1;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;36
"261245 SANTA CRUZ";-;-;-;-;-;-;1;8;3;-;2;3;1;1;2;1;1;1;1;2;2;-;-;2;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
"261247 SANTA CRUZ DA BAIXA VERDE";-;-;-;2;-;-;1;5;10;11;2;1;3;3;9;4;7;13;10;11;6;10;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;112
"261250 SANTA CRUZ DO CAPIBARIBE";10;2;2;1;7;4;7;20;31;69;64;10;10;9;11;13;12;36;9;16;9;7;3;1;2;6;3;11;4;11;2;5;3;3;7;1;3;4;4;3;10;3;3;3;3;1;3;2;2;2;2;-;469
"261255 SANTA FILOMENA";-;-;-;2;1;3;3;3;7;2;5;3;9;10;4;11;12;24;38;15;15;11;7;3;-;5;5;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;202
"261260 SANTA MARIA DA BOA VISTA";-;-;-;1;1;1;2;4;10;12;3;-;1;2;4;3;1;1;-;1;1;-;2;2;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;56
"261270 SANTA MARIA DO CAMBUCA";-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"261280 SANTA TEREZINHA";-;-;-;2;-;2;3;4;7;4;5;7;6;2;5;5;5;14;5;4;2;2;4;1;2;2;1;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;97
"261290 SAO BENEDITO DO SUL";-;3;-;-;2;2;2;4;2;7;4;2;5;3;2;2;1;3;1;-;4;2;1;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58
"261300 SAO BENTO DO UNA";-;3;2;1;3;-;1;2;3;4;5;1;2;-;2;1;-;2;3;-;-;-;-;-;6;-;1;1;1;-;1;-;-;1;2;-;-;-;1;-;2;2;-;-;-;-;2;1;-;1;1;1;59
"261310 SAO CAITANO";-;3;-;1;2;2;2;1;2;12;11;5;-;-;-;-;-;3;-;1;2;1;1;1;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54
"261320 SAO JOAO";-;-;-;-;1;1;6;1;-;1;-;1;-;1;-;1;-;1;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
